Dataset type,Judge model,Train dataset,Test dataset,Type,Accuracy,Precision,Recall,F1,AUROC,ECE,ECE_lo,ECE_hi,ECE_em,ECE_em_lo,ECE_em_hi,RMSCE_db,RMSCE_db_lo,RMSCE_db_hi,SmECE,SmECE_lo,SmECE_hi,Recovery,Validity
syn,qwen-2.5-7b-base,supermat,pond+nfix,NTP,0.6666666666666666,,0.0,,0.5540306401143948,0.03455561094111764,0.022879604133480735,0.04679692602185511,0.03994298181041438,0.031727230722537816,0.053753104224170116,0.042132630852692324,0.03282516295017014,0.05959966387885562,0.03547041571370105,0.024975611979514367,0.04596521944788773,0.0,0.0
syn,qwen-2.5-7b-base,supermat,pond+nfix,Probe,0.6586224233283057,0.4439252336448598,0.0955253896430367,0.15721969383533305,0.5905384339862203,0.3264877560851532,0.3145071533720273,0.33831283677245516,0.31624870383145326,0.3037129197281596,0.3287327768337854,0.32399432035338077,0.31233437688265986,0.3375104358575708,0.32558015019539627,0.3144142506736234,0.33674604971716915,0.0955253896430367,0.4439252336448598
real,qwen-2.5-7b-base,pond,pond,NTP,0.4339668029829204,,0.0,,0.6135296451291601,0.2516621349622233,0.23658808343448193,0.2669734576177625,0.2505539365050697,0.23547043302920698,0.2654798951303636,0.26893621683997077,0.25469774257302286,0.2841973047128216,0.250526838138807,0.23570172416225726,0.2653519521153567,0.0,0.0
real,qwen-2.5-7b-base,pond,pond,Probe,0.5845561703151311,0.6983523447401775,0.46833829154271145,0.5606715848384635,0.6581660153618112,0.36056532275568953,0.34652364660494817,0.3753021994375516,0.34709303323887786,0.3350885085459028,0.3647361959367668,0.379246571964635,0.3649353730872188,0.39573721870223044,0.3411637963248457,0.3268434492148003,0.35548414343489115,0.4090909090909091,0.6983523447401775
real,qwen-2.5-7b-base,pond,nfix+supermat,NTP,0.5228536133415689,,0.0,,0.5538535157457161,0.18386847874713078,0.17415161018715328,0.19385250888038028,0.18364236440577267,0.1739319860014038,0.1936193960186892,0.1880625421069652,0.1788869271311761,0.19899482212503122,0.18362609863014268,0.17355780545096036,0.193694391809325,0.0,0.0
real,qwen-2.5-7b-base,pond,nfix+supermat,Probe,0.563207741404159,0.5845556514236411,0.2923408845738943,0.3897598159068028,0.5914236190095095,0.4058984434976486,0.3963324311079999,0.4164678622083555,0.39316415326789217,0.38021647476345155,0.4044070693707673,0.40802166456253786,0.39800380199654484,0.418441367143283,0.39114276351012683,0.3817420509199249,0.40054347610032875,0.1860019175455417,0.5845556514236411
real,qwen-2.5-7b-base,nfix,nfix,NTP,0.607331223628692,,0.0,,0.5583154742828215,0.06639251172197322,0.05110107730325664,0.08233405607903367,0.0765972934900617,0.06516227429387675,0.09551234348614611,0.08946380446255603,0.07542197288746243,0.10760885207783602,0.06372008763939485,0.046954085137051904,0.0804860901417378,0.0,0.0
real,qwen-2.5-7b-base,nfix,nfix,Probe,0.5785864978902954,0.4776547765477655,0.7824042981867025,0.5931771894093687,0.6936549021963643,0.3833376283338664,0.36859612087929966,0.39981477758918965,0.3802712500574185,0.36395163991732565,0.3981252112154873,0.4144577856390442,0.3996647507890432,0.4314446531100113,0.3726517974554538,0.3585338259729557,0.3867697689379519,0.4605263157894737,0.4776547765477655
real,qwen-2.5-7b-base,nfix,pond+supermat,NTP,0.44960560911481157,,0.0,,0.5737510091703083,0.21158814615987223,0.2035914646417411,0.21928040113936792,0.2115881461598722,0.20359146464174116,0.21928040113936792,0.2176206966255561,0.20999356257197574,0.22590224820657423,0.2115722765773114,0.20270547758726543,0.22043907556735737,0.0,0.0
real,qwen-2.5-7b-base,nfix,pond+supermat,Probe,0.6093170633047934,0.5948130953333867,0.9102155805977462,0.7194655564699618,0.6830693713349274,0.3683255447966804,0.3611405492073116,0.3766971378633699,0.34269704866701317,0.33568718740821396,0.3521572719325896,0.3772227326644565,0.3698575034401746,0.3859406096633603,0.36476945841155856,0.3559801303804695,0.3735587864426476,0.653034007557235,0.5948130953333867
real,qwen-2.5-7b-base,supermat,supermat,NTP,0.4044027721157766,,0.0,,0.6189730023625003,0.3167484837897281,0.2967430619868446,0.33582417196179165,0.3167484837897281,0.2967430619868446,0.33582417196179165,0.3284785145685906,0.3111471126817204,0.3483675535472093,0.31670859344391583,0.29688086136820524,0.3365363255196264,0.0,0.0
real,qwen-2.5-7b-base,supermat,supermat,Probe,0.48919690175295555,0.703125,0.2464065708418891,0.36492650785605674,0.6271058267646994,0.47886591057643685,0.4601230204635672,0.4996101173038704,0.4780309775796088,0.457806712153648,0.4960439446257297,0.5046222017635739,0.48520180042782707,0.5242307135427949,0.44332619677304375,0.42464579627851085,0.46200659726757665,0.3528399311531842,0.703125
real,qwen-2.5-7b-base,supermat,pond+nfix,NTP,0.5215992373234821,,0.0,,0.5947626440286018,0.18742788587330694,0.18001309543383717,0.194622887660396,0.1873807909546814,0.17996270900297745,0.1945758011443688,0.19931478385462403,0.19204388008222073,0.2070944099540612,0.1873468271472927,0.17932181430283184,0.19537183999175356,0.0,0.0
real,qwen-2.5-7b-base,supermat,pond+nfix,Probe,0.552642554966335,0.6266407389402042,0.16054303151077345,0.2556018243109261,0.5851628832459714,0.4256078634306271,0.41861213928597973,0.4330446902115868,0.4208024969632783,0.41327899875730895,0.42827491752583413,0.43049343599725187,0.4234544842024335,0.437985572718835,0.40977299307372156,0.4011560452527525,0.4183899408946906,0.10721843404655537,0.6266407389402042
