dataset,ecosystem,attribute,setting,unit,n,n_eff,sum_w,mean,std,q1,median,q3
pond,lake,tn,probe_weighted,µg/L,67,48.32439277886574,28.883706617912697,1771.6762209195888,3868.395786377012,447.4266764950526,916.2981025942563,1608.7722104510196
pond,lake,tp,ground_truth,µg/L,101,101.0,101.0,60.94851485148515,71.2217040148035,19.8,43.6,70.5
pond,lake,tp,extracted,µg/L,119,119.0,119.0,51.89359831932773,145.62830941674767,9.65,18.3,47.35
pond,lake,tp,judge_filtered,µg/L,82,82.0,82.0,49.66097560975609,64.59781893672661,12.8,24.45,52.6
pond,lake,tp,ntp_weighted,µg/L,119,99.72872701382886,77.2893178902357,58.28514924414775,171.90930211857693,11.78270719473596,22.55856526773732,49.09022278057827
pond,lake,tp,probe_weighted,µg/L,119,107.02544438049406,78.48128253003638,51.7726098547747,146.94706894959063,9.6,19.612151128616247,47.4192951758236
pond,lake,chla,ground_truth,µg/L,123,123.0,123.0,32.84552845528455,79.47953366008764,4.925000000000001,13.8,27.55
pond,lake,chla,extracted,µg/L,155,155.0,155.0,107.19032258064516,350.1605909453461,3.4,11.5,27.700000000000003
pond,lake,chla,judge_filtered,µg/L,125,125.0,125.0,45.4472,152.5718649157536,3.6999999999999997,9.4,24.625
pond,lake,chla,ntp_weighted,µg/L,155,134.71393310539742,115.44879517174394,71.13989566796668,254.97819762115495,3.641339193405444,11.5,25.52861171077968
pond,lake,chla,probe_weighted,µg/L,155,140.06629436532535,104.03038327348507,88.59381016208181,327.31798884827214,3.4,8.804397481593423,25.50666729204513
pond,wetland,surface_area,ground_truth,m^2,9,9.0,9.0,17655.555555555555,19185.222901435827,4750.0,10000.0,24450.0
pond,wetland,surface_area,extracted,m^2,18,18.0,18.0,53237.22222222222,69157.03390754182,150.0,11399.999999999998,90000.0
pond,wetland,surface_area,judge_filtered,m^2,11,11.0,11.0,62591.818181818184,81782.85417105249,1062.5000000000005,11399.999999999998,150000.00000000003
pond,wetland,surface_area,ntp_weighted,m^2,18,14.968456633599295,12.186248204616897,68186.69054681563,75737.51114180987,7032.820477389085,20682.153006909874,124121.08532736977
pond,wetland,surface_area,probe_weighted,m^2,18,17.140849014346085,14.629268777696621,51477.16157105245,69248.2923021747,150.0,11399.999999999998,90000.0
pond,wetland,max_depth,ground_truth,m,1,1.0,1.0,0.6000000000000001,,0.6000000000000001,0.6000000000000001,0.6000000000000001
pond,wetland,max_depth,extracted,m,8,8.0,8.0,3.6187500000000004,2.566255958172751,1.15,3.625,5.95
pond,wetland,max_depth,judge_filtered,m,5,5.0,5.0,4.140000000000001,3.076198953253837,1.1,5.0,6.925000000000001
pond,wetland,max_depth,ntp_weighted,m,8,6.52155569614764,4.405147752915648,4.126855453742384,2.6274376304128992,1.3731036635576577,4.321318597019788,6.909703006507496
pond,wetland,max_depth,probe_weighted,m,8,7.198948822838115,6.3620886880046665,3.6338756651692052,2.79884914032324,1.0639121209913887,3.702669890488467,6.549978938874071
pond,wetland,vegetation_cover,ground_truth,percent,1,1.0,1.0,13.0,,13.0,13.0,13.0
pond,wetland,vegetation_cover,extracted,percent,46,46.0,46.0,9.350217391304348,16.275078492950218,2.3,4.749999999999999,7.5
pond,wetland,vegetation_cover,judge_filtered,percent,33,33.0,33.0,5.4787878787878785,4.173259934972717,2.6750000000000003,4.3,7.125
pond,wetland,vegetation_cover,ntp_weighted,percent,46,45.9999204683099,16.14888897970596,9.349526617895808,16.271677470307665,2.3012086343074545,4.75340958039164,7.500822942981868
pond,wetland,vegetation_cover,probe_weighted,percent,46,41.72875344027569,18.822585869974333,6.760970089194778,11.846478795121957,2.2,4.072927000886872,6.901305373253075
pond,wetland,ph,ground_truth,,21,21.0,21.0,7.6938095238095245,0.4918686429370772,7.265,7.44,8.1
pond,wetland,ph,extracted,,30,30.0,30.0,6.608999999999999,2.8379039739774923,7.2,7.435,8.1
pond,wetland,ph,judge_filtered,,23,23.0,23.0,7.81173913043478,0.585519599655748,7.295,7.66,8.4
pond,wetland,ph,ntp_weighted,,30,23.586008267566392,15.21042334007961,7.143194655137285,2.5152765649734135,7.300446873880705,8.016658004640506,8.53959277860697
pond,wetland,ph,probe_weighted,,30,27.93756750271506,21.110262380364617,7.22469453610539,2.2400626122362497,7.253559396882309,7.87096600650882,8.344495707714067
pond,wetland,tn,ground_truth,µg/L,20,20.0,20.0,9065.0,6690.543601547674,1349.9999999999998,9645.0,13810.0
pond,wetland,tn,extracted,µg/L,15,15.0,15.0,13035.333333333334,3726.3614322566086,10280.0,12450.0,16585.0
pond,wetland,tn,judge_filtered,µg/L,13,13.0,13.0,13292.307692307691,3932.8512851071846,9962.5,12450.0,17497.5
pond,wetland,tn,ntp_weighted,µg/L,15,14.886962198980449,5.423651981395182,13068.750022416887,3706.1044930784096,10280.0,12450.0,16499.031457164547
pond,wetland,tn,probe_weighted,µg/L,15,13.20494188200282,3.2805493214831873,13438.982136446544,3974.1084927918732,10280.0,12450.0,17707.181299976084
pond,wetland,tp,ground_truth,µg/L,21,21.0,21.0,542.1285714285714,444.9874100947769,115.975,480.0,852.5
pond,wetland,tp,extracted,µg/L,24,24.0,24.0,952.9520833333332,1034.694043570281,390.00000000000006,710.0,1297.0
pond,wetland,tp,judge_filtered,µg/L,12,12.0,12.0,844.1666666666666,337.1662210335736,615.0,775.0,1110.0
pond,wetland,tp,ntp_weighted,µg/L,24,21.533004911660477,9.06153956023313,897.1889790244342,1021.235311646889,182.5387259165433,665.3201563507881,1297.0
pond,wetland,tp,probe_weighted,µg/L,24,18.15500759976342,4.947155811520263,897.5532514956234,631.9664906214788,610.8961386089001,839.9773431646621,1240.699637065776
pond,wetland,chla,ground_truth,µg/L,20,20.0,20.0,42.3,42.61661400761074,8.65,27.6,56.9
pond,wetland,chla,extracted,µg/L,15,15.0,15.0,50.842,46.973504568305,26.15,30.8,85.725
pond,wetland,chla,judge_filtered,µg/L,7,7.0,7.0,78.74285714285713,52.66494270837282,28.0,91.7,125.0
pond,wetland,chla,ntp_weighted,µg/L,15,14.99992053221986,5.269550297481307,50.87051280636899,46.99613935735731,26.155346497769496,30.798350326857676,85.78346345234807
pond,wetland,chla,probe_weighted,µg/L,15,12.673948106640907,2.0862529786302377,64.55982666065007,47.43578012695598,28.0,49.4930419088264,91.7
