Split,Judge model,Train dataset,Test dataset,Type,Accuracy,Precision,Recall,F1,AUROC,ECE,ECE_lo,ECE_hi,ECE_se,ECE_em,ECE_em_lo,ECE_em_hi,ECE_em_se,RMSCE_db,RMSCE_db_lo,RMSCE_db_hi,RMSCE_db_se,Brier,BSS,Validity,N,N_pos
all_docs,mistral-7b,pond,pond,NTP,0.45,,0.0,,0.7151515151515151,0.21094164607856233,0.13921643997282215,0.3067990102241306,0.04353290297868053,0.22155213503229199,0.16040072120513107,0.31864083023136264,0.040131324129928946,0.19622121552247387,0.1354347337219348,0.3399962222624467,0.052446822940524766,0.25786996342562585,-0.04189884212374073,0.0,100,55
all_docs,mistral-7b,pond,pond,Probe,0.51,0.5789473684210527,0.4,0.4731182795698925,0.5991919191919192,0.17807378629847875,0.1263988385953487,0.28451782617322185,0.04014190740925365,0.19215954242524766,0.14049934118634608,0.29464114457499263,0.040048683335190356,0.15656130232181695,0.09134559203728,0.3175784812943181,0.06008435501534791,0.2673513304202819,-0.08020739563750268,0.5789473684210527,100,55
all_docs,mistral-7b,pond,nfix,NTP,0.49,,0.0,,0.5966386554621849,0.20155086547557305,0.11623975517550938,0.2992118881675424,0.04607618938273467,0.19762802804674295,0.16745091802130396,0.32463957493968015,0.04114182031167652,0.17831353971517538,0.13368101785390715,0.3519463117890079,0.05573035450560952,0.28836207007781606,-0.1539098442489637,0.0,100,51
all_docs,mistral-7b,pond,nfix,Probe,0.56,0.6296296296296297,0.3333333333333333,0.43589743589743585,0.6698679471788715,0.16302793074743044,0.11152349735272171,0.2732826960269954,0.04145949023719402,0.1603046748068188,0.12583724974666397,0.2800110170879213,0.04025028127084094,0.11899903759607341,0.054348759046980305,0.3015411627891542,0.06182580308360999,0.25429555572980617,-0.017589258622673798,0.6296296296296297,100,51
all_docs,mistral-7b,nfix,pond,NTP,0.45,,0.0,,0.7151515151515151,0.20496199537672916,0.13461565029190145,0.2974838860604735,0.04285339177888245,0.23443055555980333,0.16832261229838968,0.32452706087040023,0.04030411880168009,0.20332019784750924,0.1447665572067054,0.34370050761397286,0.05133357898289782,0.2612715188869311,-0.055642500553257035,0.0,100,55
all_docs,mistral-7b,nfix,pond,Probe,0.72,0.7288135593220338,0.7818181818181819,0.7543859649122807,0.7814141414141414,0.084739490809681,0.07237736450486011,0.18845681982475632,0.02915119190359956,0.0821640950483543,0.08241026273732191,0.20470588425545003,0.03150800693158981,0.0,0.0,0.21394213624344238,0.06423880736831958,0.18815770112222616,0.2397668641526216,0.7288135593220338,100,55
all_docs,mistral-7b,nfix,nfix,NTP,0.49,,0.0,,0.5966386554621849,0.18318679616576092,0.10008044056268535,0.28556832726274267,0.046226985847274846,0.17933720622528582,0.15480350052834874,0.30985943724928966,0.04100121731408664,0.15070155881249994,0.11342785769085653,0.33232843237797627,0.05689699544197608,0.27954137005303287,-0.1186129253822843,0.0,100,51
all_docs,mistral-7b,nfix,nfix,Probe,0.53,0.6666666666666666,0.1568627450980392,0.25396825396825395,0.6582633053221288,0.28772640838625035,0.2131340424132573,0.3853094340442133,0.04469445901482857,0.26393743507080153,0.212097070922138,0.37756409611153957,0.043301204079213625,0.2778382216921942,0.22199271860500133,0.4299959066896857,0.052034476158445066,0.30905918131864973,-0.23673141784173568,0.6666666666666666,100,51
all_docs,qwen-2.5-7b,pond,pond,NTP,0.72,0.9090909090909091,0.5454545454545454,0.6818181818181818,0.8428282828282829,0.1450064936558674,0.07282017370846237,0.2288009059546796,0.040598004901359466,0.17815283943365173,0.13777030937118764,0.2744060720503273,0.035484414346094575,0.18588147472973368,0.11018216952002162,0.3208208213750457,0.053765435605182293,0.20360721762189637,0.1773445752650652,0.9090909090909091,100,55
all_docs,qwen-2.5-7b,pond,pond,Probe,0.69,0.6621621621621622,0.8909090909090909,0.7596899224806202,0.7612121212121212,0.15804706744215577,0.1139926669575791,0.2510088191297884,0.036238884347077505,0.17709603635898583,0.11241361024136,0.2552083371569886,0.03712591236618658,0.1494831901978907,0.045735081334670816,0.2754290330550161,0.058333924620780124,0.21265306206601192,0.14079570882419423,0.6621621621621622,100,55
