dataset,ecosystem,attribute,setting,unit,n_gt,n_ext,n_eff,ext_qlo,ext_qhi,w2,w2_skip,w2_lo,w2_hi,w2_n_boot_ok,w2_log,w2_log_skip,w2_log_lo,w2_log_hi,w2_log_n_boot_ok,w2_shuffled
pond,pond,vegetation_cover,ntp_weighted,percent,37,209,137.8867614890696,0.0015610579551400665,0.9947751536192063,16.782766482675285,,7.4556745059426754,30.94919626926123,2000,,n/a,,,0,18.713743308348313
pond,pond,vegetation_cover,probe_weighted,percent,37,209,173.6655439815902,0.002856653570771431,0.9985211218009576,23.213099085047947,,10.838414854098918,36.32163381620893,2000,,n/a,,,0,19.682385406926134
pond,pond,ph,extracted,,115,303,303.0,0.0016501650165016502,0.9983498349834984,1.2650055560986255,,0.8482232108420789,1.6863085334424963,2000,,n/a,,,0,1.2650055560986255
pond,pond,ph,judge_filtered,,115,157,157.0,0.0031847133757961785,0.9968152866242038,0.28668092997882055,,0.18876907374333368,0.6150241948763543,2000,,n/a,,,0,0.28668092997882055
pond,pond,ph,ntp_weighted,,115,303,206.83173607368303,0.0008039651320733255,0.997824721032318,0.6495254155155076,,0.36737032847737106,1.0224302170521435,2000,,n/a,,,0,1.0732175343988137
pond,pond,ph,probe_weighted,,115,303,242.31976568015824,4.685689664899223e-05,0.9975058293861757,1.1178007127886807,,0.695724864469027,1.5341502056996006,2000,,n/a,,,0,1.2558413236271573
pond,pond,tn,extracted,µg/L,50,78,78.0,0.00641025641025641,0.9935897435897436,1351.8814796068568,,312.6561497177597,7499.468254632555,2000,0.3659255040913212,,0.24459494696863396,0.6070564868568855,2000,1351.8814796068568
pond,pond,tn,judge_filtered,µg/L,50,28,28.0,0.017857142857142856,0.9821428571428571,2831.5720034614196,,148.40584831720494,10271.53929636066,2000,0.12208878386675641,,0.05912376052049116,0.40948858927659565,2000,2831.5720034614196
pond,pond,tn,ntp_weighted,µg/L,50,78,50.542022899662214,0.004554942527680206,0.9953701907156147,681.900165692463,,273.65917041957715,5450.5388728772305,2000,0.2831956806077644,,0.18352993353623528,0.4709704177500883,2000,891.9036945477444
pond,pond,tn,probe_weighted,µg/L,50,78,37.12060876347953,0.0015141027648666373,0.9905352769993649,5214.350253027583,,429.3742407061315,11736.920819481926,1999,0.2502446122226789,,0.11200710389795276,0.4764350736983067,2000,5862.002741031374
pond,pond,tp,extracted,µg/L,42,137,137.0,0.0036496350364963502,0.9963503649635036,112.01419260400499,,54.23579764344301,316.3994346857246,2000,0.3089998519512248,,0.2072660761028065,0.5536657184190176,2000,112.01419260400499
pond,pond,tp,judge_filtered,µg/L,42,67,67.0,0.007462686567164179,0.9925373134328358,100.15217716336784,,53.071514990048875,303.0602864690427,2000,0.3216276702359343,,0.159215273574744,0.6341196185423521,2000,100.15217716336784
pond,pond,tp,ntp_weighted,µg/L,42,137,94.82579456541082,0.002987319424633105,0.9975084503213418,197.97066139645153,,63.10756269120048,417.85560161024637,2000,0.4217578638692731,,0.261268213558357,0.6960804843526323,2000,131.04171110453558
pond,pond,tp,probe_weighted,µg/L,42,137,110.16772005130501,0.0050283584893604455,0.9987633835847183,76.1034234397018,,40.52627436849033,256.9627764867209,2000,0.3018341469064607,,0.20279568276655255,0.5148813079524657,2000,110.09205358335781
pond,pond,chla,extracted,µg/L,41,84,84.0,0.005952380952380952,0.9940476190476191,321.31901221764065,,159.74414042429814,526.7539588737452,2000,1.3216940670187571,,1.0600593689976223,1.577855132511497,2000,321.31901221764065
pond,pond,chla,judge_filtered,µg/L,41,45,45.0,0.011111111111111112,0.9888888888888889,50.20668855859271,,23.025795648194432,101.07948575088172,2000,0.8517912449179528,,0.5706745102652881,1.1387093543964923,2000,50.20668855859271
