Dataset type,Judge model,Train dataset,Test dataset,Type,Accuracy,Precision,Recall,F1,AUROC,ECE,ECE_lo,ECE_hi,ECE_em,ECE_em_lo,ECE_em_hi,RMSCE_db,RMSCE_db_lo,RMSCE_db_hi,SmECE,SmECE_lo,SmECE_hi,Recovery,Validity
syn,llama-3.1-8b,supermat,pond+nfix,NTP,0.7132562426680074,0.8475,0.17043740573152338,0.2838007534533278,0.7678250993839673,0.1629060747724704,0.15222399528250855,0.17408111970102833,0.16333048899750124,0.15338948053065501,0.17442960468044724,0.17931637565553776,0.16923274180295284,0.19206412202467063,0.1626780020098103,0.1514604097380109,0.17389559428160972,0.17043740573152338,0.8475
syn,llama-3.1-8b,supermat,pond+nfix,Probe,0.669683257918552,0.68,0.017094017094017096,0.03334968121628249,0.6995156998484121,0.21216883174748943,0.20084002161280098,0.22402432873397357,0.21216883174748946,0.20076364494370685,0.22390443306390387,0.22917381648559526,0.2173846258914657,0.24237283553974925,0.2120850488667713,0.20164763247431267,0.22252246525922992,0.017094017094017096,0.68
syn,mistral-7b,pond,pond,NTP,0.6666666666666666,,0.0,,0.711910840782594,0.014034712968938937,0.006647672094389637,0.027007940622756525,0.05032402915554401,0.04044559860852977,0.06338229074997426,0.06530653038625073,0.05251024007006024,0.08128078677551731,0.01989813430420843,0.014456222696408866,0.025340045912007995,0.0,0.0
syn,mistral-7b,pond,pond,Probe,0.8186147186147186,0.7896039603960396,0.6214285714285714,0.6954941860465116,0.8902099848203745,0.06238534491751323,0.05605031972436404,0.0736382946695714,0.0593047046274496,0.055890082193434304,0.07201703684608159,0.08014613728048108,0.07116178775288626,0.09005691166115651,0.05570026513889415,0.047662327065915,0.0637382032118733,0.6214285714285714,0.7896039603960396
syn,mistral-7b,pond,nfix+supermat,NTP,0.6666666666666666,,0.0,,0.6537703836365352,0.054097050080689865,0.042140701523509065,0.07105960415913537,0.07177390854731776,0.05774002248057893,0.08975875123441325,0.08089786588476557,0.06745847154018846,0.10108606952628552,0.05422716965579434,0.0392024313812227,0.06925190793036598,0.0,0.0
syn,mistral-7b,pond,nfix+supermat,Probe,0.6495145631067961,0.4715969989281886,0.42718446601941745,0.44829342842587877,0.6810041002922046,0.0875885270612513,0.07480615430712877,0.10417902633454347,0.08349478940518185,0.07129310170480481,0.10048337129537149,0.11634846066465604,0.0997324830786464,0.13474715891440608,0.0670351766986141,0.053012396082517746,0.08105795731471045,0.42718446601941745,0.4715969989281886
syn,mistral-7b,nfix,nfix,NTP,0.6666666666666666,,0.0,,0.6144550374254095,0.023855527825594965,0.01378420626723433,0.050707879171321295,0.03433530731341105,0.030398378565829293,0.0717966361527424,0.006345789780845456,0.0,0.07744905443954345,0.021222149070771697,0.0009193396860763398,0.041524958455467054,0.0,0.0
syn,mistral-7b,nfix,nfix,Probe,0.6971046770601337,0.5953488372093023,0.28507795100222716,0.38554216867469876,0.6978276397438504,0.07202091446718625,0.05758823046963041,0.09932037567814195,0.07974072557872328,0.06073006280337056,0.10500463353426959,0.08160727263050549,0.061679679557349806,0.1149165095263384,0.062158252172840066,0.03784621941197251,0.08647028493370762,0.28507795100222716,0.5953488372093023
syn,mistral-7b,nfix,pond+supermat,NTP,0.6666666666666666,,0.0,,0.698137782054625,0.04617574851231504,0.03617538128448879,0.05726064452543419,0.046136107032541465,0.04121914051615791,0.06048877944492938,0.06473578084892541,0.05648506128004738,0.07939849096587202,0.03758590736570848,0.027936137082415338,0.04723567764900162,0.0,0.0
syn,mistral-7b,nfix,pond+supermat,Probe,0.716957410026717,0.5583941605839416,0.7213578500707214,0.629500102859494,0.7835548002163321,0.12010458012249114,0.10940682938594946,0.12994192952558734,0.12010458012249119,0.10940682938594945,0.12994192952558734,0.1280711143895237,0.11786966294098083,0.13908088320869186,0.12001094918238893,0.10966800962319143,0.13035388874158643,0.7213578500707214,0.5583941605839416
