Dataset type,Judge model,Train dataset,Test dataset,Type,Accuracy,Precision,Recall,F1,AUROC,ECE,ECE_lo,ECE_hi,ECE_em,ECE_em_lo,ECE_em_hi,RMSCE_db,RMSCE_db_lo,RMSCE_db_hi,Recovery,Validity
syn,qwen-2.5-7b,nfix,nfix,Probe,0.6985894580549369,0.5754385964912281,0.36525612472160357,0.446866485013624,0.717418316377399,0.07652537102886635,0.05952070840150992,0.10232015596236461,0.08652672258540976,0.062486698344272736,0.10848211620567048,0.09033671241053984,0.0679311787143752,0.12244248116566488,0.36525612472160357,0.5754385964912281
syn,qwen-2.5-7b,nfix,supermat,NTP,0.7751004016064257,0.7310513447432763,0.5146299483648882,0.604040404040404,0.8034555235942541,0.11548847719425422,0.09858730716240906,0.135957291097819,0.11544867254110114,0.10066659113898618,0.13623278864595523,0.12547048464624183,0.11413889653792714,0.14807225065239993,0.5146299483648882,0.7310513447432763
syn,qwen-2.5-7b,nfix,supermat,Probe,0.6465863453815262,0.4826216484607746,0.8364888123924269,0.6120906801007556,0.7185760499583779,0.2498849932080205,0.2299454725522525,0.2714151174039737,0.24988499320802046,0.22972080956399654,0.27141565808490825,0.30607388316822887,0.28256781019034466,0.33525061619162294,0.8364888123924269,0.4826216484607746
syn,qwen-2.5-7b,supermat,pond,NTP,0.7976190476190477,0.7835051546391752,0.5428571428571428,0.6413502109704642,0.87404273486254,0.045177486127323405,0.034630367920671534,0.05761669893376011,0.1288570356876774,0.11796104968367345,0.13977949272656054,0.14605816509138875,0.13545165822876212,0.15773626963171528,0.5428571428571428,0.7835051546391752
syn,qwen-2.5-7b,supermat,pond,Probe,0.696969696969697,0.8723404255319149,0.10649350649350649,0.1898148148148148,0.8324116630123125,0.1765575320690382,0.1643164619904115,0.188246041493253,0.182500165364208,0.17140773965137351,0.19501942724777413,0.226226567494174,0.2129525266242311,0.2401012646589297,0.10649350649350649,0.8723404255319149
syn,qwen-2.5-7b,supermat,nfix,NTP,0.6755753526354863,0.6764705882352942,0.051224944320712694,0.09523809523809525,0.6453576619163595,0.1057580401595925,0.08309414399213727,0.1320193006866449,0.13499120864022393,0.11140399145761716,0.1584717500723184,0.14493225677721586,0.12409465576644681,0.1757577746772509,0.051224944320712694,0.6764705882352942
syn,qwen-2.5-7b,supermat,nfix,Probe,0.6703786191536748,1.0,0.011135857461024499,0.02202643171806167,0.6632717595646846,0.2096564642765648,0.186201058003737,0.23304026644504622,0.20965646427656484,0.18607385744833185,0.23304072102104956,0.21999430914862916,0.19978999690725535,0.24850981410073897,0.011135857461024499,1.0
syn,qwen-2.5-7b,supermat,supermat,NTP,0.7693631669535284,0.7594202898550725,0.4509466437177281,0.5658747300215984,0.8034555235942541,0.012206091124342672,0.01136823207130882,0.03435315326264784,0.08773437982091502,0.07584834086203983,0.11110011912492698,0.11026728804199225,0.09521614370651289,0.14058255848935367,0.4509466437177281,0.7594202898550725
syn,qwen-2.5-7b,supermat,supermat,Probe,0.7578886976477338,0.658051689860835,0.5697074010327022,0.6107011070110702,0.8305898785700955,0.05880686859177964,0.04681809739586659,0.07956695383260609,0.05646865356340277,0.04333528746643891,0.07784286375289604,0.05288560755501479,0.039835852542291404,0.08332322974614112,0.5697074010327022,0.658051689860835
syn,qwen-2.5-7b-base,pond,pond,NTP,0.6662337662337663,0.25,0.0006493506493506494,0.0012953367875647669,0.5591539467026481,0.023626591318427367,0.013664419513220482,0.037217037054983915,0.03222854615597598,0.026485708037892106,0.05001163811088934,0.03627460171369183,0.025244252923165178,0.05680236872089157,0.0006493506493506494,0.25
