dataset,ecosystem,attribute,setting,unit,n,n_eff,sum_w,mean,std,q1,median,q3,whisker_lo,whisker_hi,n_outliers,w_outliers,quantiles_clamped
pond,lake,tn,extracted,µg/L,99,99.0,99.0,322671.2383838384,612546.1023149298,483.75,1100.0,647250.0000000002,12.0,1575000.0,4,4.0,False
pond,lake,tn,judge_filtered,µg/L,67,67.0,67.0,272681.0014925373,485370.2439419234,679.225,1136.0,583000.0,332.0,1332000.0,1,1.0,False
pond,lake,tn,ntp_weighted,µg/L,99,69.48387042551312,43.94386811451501,569748.6929310637,724107.8392271101,676.170448648253,523968.5346633187,949169.7656087046,12.0,1903000.0,2,1.4224657760570256,False
pond,lake,tn,probe_weighted,µg/L,99,74.67527009444267,49.19410396504004,403891.47719932225,655275.2020797728,812.1980354495498,1731.1475287762182,799852.8753264623,12.0,1903000.0,2,1.2041838122093442,False
pond,lake,tp,ground_truth,µg/L,101,101.0,101.0,60.94851485148515,71.2217040148035,19.8,43.6,70.5,3.2,142.6,10,10.0,False
pond,lake,tp,extracted,µg/L,182,182.0,182.0,31310.30405604395,69505.03767516564,12.8,48.25,46000.0,0.0382,109000.0,12,12.0,False
pond,lake,tp,judge_filtered,µg/L,99,99.0,99.0,16593.549494949493,46223.41346082615,13.85,35.4,126.5,3.2,206.7,18,18.0,False
pond,lake,tp,ntp_weighted,µg/L,182,128.84435702149275,80.58426510173025,36333.69889142063,73070.20491605396,18.29099101684745,55.4002558987988,48311.460738291695,0.0382,115200.0,10,4.862862289203919,False
pond,lake,tp,probe_weighted,µg/L,182,168.6523747881491,123.2785342919301,29108.96878967613,66874.26583826113,12.968244756446667,40.84746181930229,42705.00685983241,0.0382,101100.0,13,8.079696553810349,False
pond,lake,chla,ground_truth,µg/L,123,123.0,123.0,32.84552845528455,79.47953366008764,4.925000000000001,13.8,27.55,0.0,59.0,11,11.0,False
pond,lake,chla,extracted,µg/L,236,236.0,236.0,80104.7224576271,729052.3808197904,5.55,32.3,10450.0,0.0,26100.0,32,32.0,False
pond,lake,chla,judge_filtered,µg/L,134,134.0,134.0,1377.058208955224,6505.187357704763,3.8,11.5,27.1,0.0,58.2,18,18.0,False
pond,lake,chla,ntp_weighted,µg/L,236,203.93178270652646,160.9442810736791,87282.78125782056,778525.5650026351,7.0,27.65967819805018,12236.795323684328,0.0,29800.0,25,16.117967875881853,False
pond,lake,chla,probe_weighted,µg/L,236,216.28340251986097,167.44518732324622,89959.3889086775,797663.4854581,5.04780793400667,21.150323291110606,5800.0,0.0,14200.0,50,28.382008957863707,False
pond,wetland,surface_area,ground_truth,m^2,9,9.0,9.0,17655.555555555555,19185.222901435827,4750.0,10000.0,24450.0,300.0,42000.0,1,1.0,False
pond,wetland,surface_area,extracted,m^2,21,21.0,21.0,38095253517060.48,174574308655224.4,150.0,23000.0,171500.0,10.0,203000.0,3,3.0,False
pond,wetland,surface_area,judge_filtered,m^2,10,10.0,10.0,58582.0,77703.7672188421,150.0,11399.999999999998,90000.0,10.0,203000.0,0,0.0,False
pond,wetland,surface_area,ntp_weighted,m^2,21,14.290418032964535,8.343310323102319,19896123823932.707,129185422728250.17,11399.999999999998,87290.6607960228,174024.67579905977,10.0,203000.0,3,0.6224986263978523,False
pond,wetland,surface_area,probe_weighted,m^2,21,18.670892112007635,13.489471379516557,2579838266497.3237,46622186916498.01,150.0,22516.764776342567,99177.48244914236,10.0,203000.0,3,1.0241467481837774,False
pond,wetland,max_depth,ground_truth,m,1,1.0,1.0,0.6000000000000001,,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0,0.0,True
pond,wetland,max_depth,extracted,m,8,8.0,8.0,3.6187500000000004,2.566255958172751,1.15,3.625,5.95,0.5,7.0,0,0.0,False
pond,wetland,max_depth,judge_filtered,m,2,2.0,2.0,3.7,4.525483399593905,0.5,3.7,6.9,0.5,6.9,0,0.0,False
pond,wetland,max_depth,ntp_weighted,m,8,5.3886469425797845,2.283697013079589,2.8234478789942266,2.7638650763376362,0.6624482869508028,1.5077627878194018,4.806863586379702,0.5,7.0,0,0.0,False
pond,wetland,max_depth,probe_weighted,m,8,6.461565758110075,3.861026933457091,3.3096375814498646,2.9520758770568283,0.9358339864376293,2.415871866003454,6.508006807967353,0.5,7.0,0,0.0,False
pond,wetland,vegetation_cover,ground_truth,percent,1,1.0,1.0,13.0,,13.0,13.0,13.0,13.0,13.0,0,0.0,True
pond,wetland,vegetation_cover,extracted,percent,49,49.0,49.0,144.22673469387755,830.3497247781296,2.525,5.1,8.825000000000001,1.0,15.4,7,7.0,False
pond,wetland,vegetation_cover,judge_filtered,percent,40,40.0,40.0,5.1425,3.987923275500928,2.25,4.15,6.949999999999999,1.0,12.8,2,2.0,False
pond,wetland,vegetation_cover,ntp_weighted,percent,49,42.70002591592972,33.92722628586409,47.03230061457031,459.7985959882792,2.514181433584982,4.80722925824114,7.293213853418733,1.0,12.8,8,2.964685968291821,False
pond,wetland,vegetation_cover,probe_weighted,percent,49,45.748192818574694,42.51374463802851,21.17308511874279,174.27843934916677,2.256466531561013,4.389842201050354,7.259512293406007,1.0,12.8,8,4.386298987524214,False
pond,wetland,ph,ground_truth,,21,21.0,21.0,7.6938095238095245,0.4918686429370772,7.265,7.44,8.1,7.04,8.5,0,0.0,False
