dataset,ecosystem,attribute,setting,unit,n_gt,n_ext,n_eff,ext_qlo,ext_qhi,w2,w2_skip,w2_lo,w2_hi,w2_n_boot_ok,w2_log,w2_log_skip,w2_log_lo,w2_log_hi,w2_log_n_boot_ok,w2_shuffled
pond,wetland,ph,extracted,,21,30,30.0,0.016666666666666666,0.9833333333333333,2.5123334323401565,,0.5326431677846604,3.6263462790202734,2000,,n/a,,,0,2.5123334323401565
pond,wetland,ph,judge_filtered,,21,23,23.0,0.021739130434782608,0.9782608695652174,0.17141575562602535,,0.10781723758789397,0.5396083271039903,2000,,n/a,,,0,0.17141575562602535
pond,wetland,ph,ntp_weighted,,21,30,23.586008267566392,0.011535026924593093,0.9688696305675041,,ext_clamped,,,0,,n/a,,,0,2.8178020307063876
pond,wetland,ph,probe_weighted,,21,30,27.93756750271506,0.010341694266042102,0.9780426126429358,1.7046098114304418,,,,1973,,n/a,,,0,2.4726956587924573
pond,wetland,tn,extracted,µg/L,20,15,15.0,0.03333333333333333,0.9666666666666667,,ext_clamped,,,0,,ext_clamped,,,0,
pond,wetland,tn,judge_filtered,µg/L,20,13,13.0,0.038461538461538464,0.9615384615384616,,ext_clamped,,,0,,ext_clamped,,,0,
pond,wetland,tn,ntp_weighted,µg/L,20,15,14.886962198980449,0.032797208938235914,0.9650179759806284,,ext_clamped,,,0,,ext_clamped,,,0,
pond,wetland,tn,probe_weighted,µg/L,20,15,13.20494188200282,0.05305965089663729,0.9658606537961307,,ext_clamped,,,0,,ext_clamped,,,0,
pond,wetland,tp,extracted,µg/L,21,24,24.0,0.020833333333333332,0.9791666666666666,525.2792453457403,,124.17560885624495,1368.5885396955139,2000,0.3406597029350947,,0.17413488865208002,0.7063440161158061,2000,525.2792453457403
pond,wetland,tp,judge_filtered,µg/L,21,12,12.0,0.041666666666666664,0.9583333333333334,,ext_clamped,,,0,,ext_clamped,,,0,
pond,wetland,tp,ntp_weighted,µg/L,21,24,21.533004911660477,0.01936235244672068,0.9806375688571305,464.571955314085,,,,1918,0.28880284041908455,,,,1935,484.58022459546584
pond,wetland,tp,probe_weighted,µg/L,21,24,18.15500759976342,0.007013925388648827,0.9940146598941356,347.6255090533976,,,,1862,0.4467447803949663,,,,1869,116.3262083910388
pond,wetland,chla,extracted,µg/L,20,15,15.0,0.03333333333333333,0.9666666666666667,,ext_clamped,,,0,,ext_clamped,,,0,
pond,wetland,chla,judge_filtered,µg/L,20,7,7.0,0.07142857142857142,0.9285714285714286,,ext_clamped,,,0,,ext_clamped,,,0,
pond,wetland,chla,ntp_weighted,µg/L,20,15,14.99992053221986,0.033295573886231784,0.9665355439498071,,ext_clamped,,,0,,ext_clamped,,,0,
pond,wetland,chla,probe_weighted,µg/L,20,15,12.673948106640907,0.007687557149559022,0.9548835315087193,,ext_clamped,,,0,,ext_clamped,,,0,
